insee;commune;date;UV_J0;UV_J1;UV_J2;UV_J3
01001;LABERGEMENT-CLEMENCIAT;2024-01-18;1;1;1;;
01002;LABERGEMENT-DE-VAREY;2024-01-18;1;1;1;;
01004;AMBERIEU-EN-BUGEY;2024-01-18;1;1;1;;
01005;AMBERIEUX-EN-DOMBES;2024-01-18;1;1;1;;
01006;AMBLEON;2024-01-18;0;1;1;;
01007;AMBRONAY;2024-01-18;1;1;1;;
01008;AMBUTRIX;2024-01-18;1;1;1;;
01009;ANDERT-ET-CONDON;2024-01-18;0;1;1;;
01010;ANGLEFORT;2024-01-18;0;1;1;;
01011;APREMONT;2024-01-18;1;1;1;;
01012;ARANC;2024-01-18;0;1;1;;
01013;ARANDAS;2024-01-18;1;1;1;;
01014;ARBENT;2024-01-18;1;1;1;;
01015;ARBIGNIEU;2024-01-18;0;1;1;;
01016;ARBIGNY;2024-01-18;1;1;1;;
01017;ARGIS;2024-01-18;1;1;1;;
01019;ARMIX;2024-01-18;0;1;1;;
01021;ARS-SUR-FORMANS;2024-01-18;1;1;1;;
01022;ARTEMARE;2024-01-18;0;1;1;;
01023;ASNIERES-SUR-SAONE;2024-01-18;1;1;1;;
01024;ATTIGNAT;2024-01-18;1;1;1;;
01025;BAGE-LA-VILLE;2024-01-18;1;1;1;;
01026;BAGE-LE-CHATEL;2024-01-18;1;1;1;;
01027;BALAN;2024-01-18;1;1;1;;
01028;BANEINS;2024-01-18;1;1;1;;
01029;BEAUPONT;2024-01-18;0;1;1;;
01030;BEAUREGARD;2024-01-18;1;1;1;;
01031;BELLIGNAT;2024-01-18;1;1;1;;
01032;BELIGNEUX;2024-01-18;1;1;1;;
01033;BELLEGARDE-SUR-VALSERINE;2024-01-18;0;1;1;;
01034;BELLEY;2024-01-18;0;1;1;;
01035;BELLEYDOUX;2024-01-18;0;1;1;;
01036;BELMONT-LUTHEZIEU;2024-01-18;0;1;1;;
01037;BENONCES;2024-01-18;1;1;1;;
01038;BENY;2024-01-18;1;1;1;;
01039;BEON;2024-01-18;0;1;1;;
01040;BEREZIAT;2024-01-18;1;1;1;;
01041;BETTANT;2024-01-18;1;1;1;;
01042;BEY;2024-01-18;1;1;1;;
01043;BEYNOST;2024-01-18;1;1;1;;
01044;BILLIAT;2024-01-18;0;1;1;;
01045;BIRIEUX;2024-01-18;1;1;1;;
01046;BIZIAT;2024-01-18;1;1;1;;
01047;BLYES;2024-01-18;1;1;1;;
01049;LA_BOISSE;2024-01-18;1;1;1;;
01050;BOISSEY;2024-01-18;1;1;1;;
01051;BOLOZON;2024-01-18;1;1;1;;
01052;BOULIGNEUX;2024-01-18;1;1;1;;
01053;BOURG-EN-BRESSE;2024-01-18;1;1;1;;
01054;BOURG-SAINT-CHRISTOPHE;2024-01-18;1;1;1;;
01056;BOYEUX-SAINT-JEROME;2024-01-18;1;1;1;;
01057;BOZ;2024-01-18;1;1;1;;
01058;BREGNIER-CORDON;2024-01-18;1;1;1;;
01059;BRENAZ;2024-01-18;0;1;1;;
01060;BRENOD;2024-01-18;0;1;1;;
01061;BRENS;2024-01-18;0;1;1;;
01062;BRESSOLLES;2024-01-18;1;1;1;;
01063;BRION;2024-01-18;1;1;1;;
01064;BRIORD;2024-01-18;0;1;1;;
01065;BUELLAS;2024-01-18;1;1;1;;
01066;LA_BURBANCHE;2024-01-18;0;1;1;;
01067;CEIGNES;2024-01-18;1;1;1;;
01068;CERDON;2024-01-18;1;1;1;;
01069;CERTINES;2024-01-18;1;1;1;;
01071;CESSY;2024-01-18;0;1;1;;
01072;CEYZERIAT;2024-01-18;1;1;1;;
01073;CEYZERIEU;2024-01-18;0;1;1;;
01074;CHALAMONT;2024-01-18;1;1;1;;
01075;CHALEINS;2024-01-18;1;1;1;;
01076;CHALEY;2024-01-18;0;1;1;;
01077;CHALLES;2024-01-18;1;1;1;;
01078;CHALLEX;2024-01-18;1;1;1;;
01079;CHAMPAGNE-EN-VALROMEY;2024-01-18;0;1;1;;
01080;CHAMPDOR;2024-01-18;0;1;1;;
01081;CHAMPFROMIER;2024-01-18;0;1;1;;
01082;CHANAY;2024-01-18;0;1;1;;
01083;CHANEINS;2024-01-18;1;1;1;;
01084;CHANOZ-CHATENAY;2024-01-18;1;1;1;;
01085;LA_CHAPELLE-DU-CHATELARD;2024-01-18;1;1;1;;
01087;CHARIX;2024-01-18;0;1;1;;
01088;CHARNOZ-SUR-AIN;2024-01-18;1;1;1;;
01089;CHATEAU-GAILLARD;2024-01-18;1;1;1;;
01090;CHATENAY;2024-01-18;1;1;1;;
01091;CHATILLON-EN-MICHAILLE;2024-01-18;0;1;1;;
01092;CHATILLON-LA-PALUD;2024-01-18;1;1;1;;
01093;CHATILLON-SUR-CHALARONNE;2024-01-18;1;1;1;;
01094;CHAVANNES-SUR-REYSSOUZE;2024-01-18;1;1;1;;
01095;CHAVANNES-SUR-SURAN;2024-01-18;1;1;1;;
01096;CHAVEYRIAT;2024-01-18;1;1;1;;
01097;CHAVORNAY;2024-01-18;0;1;1;;
01098;CHAZEY-BONS;2024-01-18;0;1;1;;
01099;CHAZEY-SUR-AIN;2024-01-18;1;1;1;;
01100;CHEIGNIEU-LA-BALME;2024-01-18;0;1;1;;
01101;CHEVILLARD;2024-01-18;1;1;1;;
01102;CHEVROUX;2024-01-18;1;1;1;;
01103;CHEVRY;2024-01-18;0;1;1;;
01104;CHEZERY-FORENS;2024-01-18;0;1;1;;
01105;CIVRIEUX;2024-01-18;1;1;1;;
01106;CIZE;2024-01-18;1;1;1;;
01107;CLEYZIEU;2024-01-18;1;1;1;;
01108;COLIGNY;2024-01-18;1;1;1;;
01109;COLLONGES;2024-01-18;0;1;1;;
01110;COLOMIEU;2024-01-18;0;1;1;;
01111;CONAND;2024-01-18;1;1;1;;
01112;CONDAMINE;2024-01-18;1;1;1;;
01113;CONDEISSIAT;2024-01-18;1;1;1;;
01114;CONFORT;2024-01-18;0;1;1;;
01115;CONFRANCON;2024-01-18;1;1;1;;
01116;CONTREVOZ;2024-01-18;0;1;1;;
01117;CONZIEU;2024-01-18;0;1;1;;
01118;CORBONOD;2024-01-18;0;1;1;;
01119;CORCELLES;2024-01-18;0;1;1;;
01121;CORLIER;2024-01-18;1;1;1;;
01122;CORMARANCHE-EN-BUGEY;2024-01-18;0;1;1;;
01123;CORMORANCHE-SUR-SAONE;2024-01-18;1;1;1;;
01124;CORMOZ;2024-01-18;0;1;1;;
01125;CORVEISSIAT;2024-01-18;1;1;1;;
01127;COURMANGOUX;2024-01-18;1;1;1;;
01128;COURTES;2024-01-18;1;1;1;;
01129;CRANS;2024-01-18;1;1;1;;
01130;CRAS-SUR-REYSSOUZE;2024-01-18;1;1;1;;
01133;CRESSIN-ROCHEFORT;2024-01-18;0;1;1;;
01134;CROTTET;2024-01-18;1;1;1;;
01135;CROZET;2024-01-18;0;1;1;;
01136;CRUZILLES-LES-MEPILLAT;2024-01-18;1;1;1;;
01138;CULOZ;2024-01-18;0;1;1;;
01139;CURCIAT-DONGALON;2024-01-18;1;1;1;;
01140;CURTAFOND;2024-01-18;1;1;1;;
01141;CUZIEU;2024-01-18;0;1;1;;
01142;DAGNEUX;2024-01-18;1;1;1;;
01143;DIVONNE-LES-BAINS;2024-01-18;0;1;1;;
01144;DOMMARTIN;2024-01-18;1;1;1;;
01145;DOMPIERRE-SUR-VEYLE;2024-01-18;1;1;1;;
01146;DOMPIERRE-SUR-CHALARONNE;2024-01-18;1;1;1;;
01147;DOMSURE;2024-01-18;0;1;1;;
01148;DORTAN;2024-01-18;1;1;1;;
01149;DOUVRES;2024-01-18;1;1;1;;
01150;DROM;2024-01-18;1;1;1;;
01151;DRUILLAT;2024-01-18;1;1;1;;
01152;ECHALLON;2024-01-18;0;1;1;;
01153;ECHENEVEX;2024-01-18;0;1;1;;
01154;ETREZ;2024-01-18;1;1;1;;
01155;EVOSGES;2024-01-18;1;1;1;;
01156;FARAMANS;2024-01-18;1;1;1;;
01157;FAREINS;2024-01-18;1;1;1;;
01158;FARGES;2024-01-18;1;1;1;;
01159;FEILLENS;2024-01-18;1;1;1;;
01160;FERNEY-VOLTAIRE;2024-01-18;1;1;1;;
01162;FLAXIEU;2024-01-18;0;1;1;;
01163;FOISSIAT;2024-01-18;1;1;1;;
01165;FRANCHELEINS;2024-01-18;1;1;1;;
01166;FRANS;2024-01-18;1;1;1;;
01167;GARNERANS;2024-01-18;1;1;1;;
01169;GENOUILLEUX;2024-01-18;1;1;1;;
01170;GEOVREISSIAT;2024-01-18;1;1;1;;
01171;GEOVREISSET;2024-01-18;1;1;1;;
01172;GERMAGNAT;2024-01-18;1;1;1;;
