DepComN,NomCN,DepComA,NomCA,ChefLieu,ComDLG,Date1,Date1_bis,Date2,Date3,Commentaire
02054,Bazoches-et-Saint-Thibaut,02054,Bazoches-sur-Vesles,O,O,30/09/2021,,01/01/2022,,
02054,Bazoches-et-Saint-Thibaut,02695,Saint-Thibaut,N,O,30/09/2021,,01/01/2022,,
16186,Lignières-Ambleville,16186,Lignières-Sonneville,O,O,23/09/2021,,01/01/2022,,
16186,Lignières-Ambleville,16010,Ambleville ,N,O,23/09/2021,,01/01/2022,,
19143,Montaignac-sur-Doustre,19143,Montaignac-Saint-Hippolyte,O,N,30/09/2021,07/10/2021,01/01/2022,,
19143,Montaignac-sur-Doustre,19092,Le Jardin,N,N,30/09/2021,07/10/2021,01/01/2022,,
24325,Pechs-de-l’Espérance,24325,Peyrillac-et-Millac,O,O,27/09/2021,,01/01/2022,,
24325,Pechs-de-l’Espérance,24089,Cazoulès,N,O,27/09/2021,,01/01/2022,,
24325,Pechs-de-l’Espérance,24314,Orliaguet,N,O,27/09/2021,,01/01/2022,,
25185,Cussey-sur-Lison,25185,Cussey-sur-Lison,O,N,14/12/2021,,01/01/2022,,
25185,Cussey-sur-Lison,25134,Châtillon-sur-Lison,N,N,14/12/2021,,01/01/2022,,
25375,Les Monts-Ronds,25375,Mérey-sous-Montrond,O,N,22/12/2021,,01/01/2022,,
25375,Les Monts-Ronds,25628,Villers-sous-Montrond,N,N,22/12/2021,,01/01/2022,,
26216,Saint-Jean-de-Galaure,26216,La Motte-de-Galaure,O,O,19/10/2021,19/11/2021,01/01/2022,,
26216,Saint-Jean-de-Galaure,26219,Mureils ,N,O,19/10/2021,19/11/2021,01/01/2022,,
56213,Saint-Gérand-Croixanvec,56213,Saint-Gérand,O,O,30/09/2021,,01/01/2022,,
56213,Saint-Gérand-Croixanvec,56049,Croixanvec,N,O,30/09/2021,,01/01/2022,,
85001,L'Aiguillon-la-Presqu’île,85001,L'Aiguillon-sur-Mer,O,O,07/12/2021,,01/01/2022,,
85001,L'Aiguillon-la-Presqu’île,85307,La Faute-sur-Mer,N,O,07/12/2021,,01/01/2022,,
16233,Mosnac-Saint-Simeux,16233,Mosnac,O,O,03/12/2020,,01/01/2021,,
16233,Mosnac-Saint-Simeux,16351,Saint-Simeux,N,O,03/12/2020,,01/01/2021,,
53249,Vimartin-sur-Orthe,53249,Saint-Pierre-sur-Orthe,O,O,21/12/2020,,01/01/2021,,
53249,Vimartin-sur-Orthe,53239,Saint-Martin-de-Connée,N,O,21/12/2020,,01/01/2021,,
53249,Vimartin-sur-Orthe,53274,Vimarcé,N,O,21/12/2020,,01/01/2021,,
01033,Valserhône,01033,Bellegarde-sur-Valserine,O,O,22/10/2018,,,19/12/2018,
01033,Valserhône,01091,Châtillon-en-Michaille,N,O,22/10/2018,,,19/12/2018,
01033,Valserhône,01205,Lancrans ,N,O,22/10/2018,,,19/12/2018,
01036,Valromey-sur-Séran,01036,Belmont-Luthézieu,O,O,17/12/2018,,,,
01036,Valromey-sur-Séran,01221,Lompnieu ,N,O,17/12/2018,,,,
01036,Valromey-sur-Séran,01414,Sutrieu,N,O,17/12/2018,,,,
01036,Valromey-sur-Séran,01442,Vieu,N,O,17/12/2018,,,,
01130,Bresse Vallons,01130,Cras-sur-Reyssouze,O,O,21/12/2018,,,,
01130,Bresse Vallons,01154,Étrez ,N,O,21/12/2018,,,,
01185,Plateau d’Hauteville ,01185,Hauteville-Lompnes,O,O,12/12/2018,,,,
01185,Plateau d’Hauteville ,01122,Cormaranche-en-Bugey,N,O,12/12/2018,,,,
01185,Plateau d’Hauteville ,01186,Hostiaz,N,O,12/12/2018,,,,
01185,Plateau d’Hauteville ,01417,Thézillieu ,N,O,12/12/2018,,,,
01215,Surjoux-Lhopital,01215,Lhôpital,O,O,03/12/2018,,,19/12/2018,
01215,Surjoux-Lhopital,01413,Surjoux,N,O,03/12/2018,,,19/12/2018,
01227,Magnieu,01227,Magnieu,O,O,23/11/2018,,,20/12/2018,
01227,Magnieu,01341,Saint-Champ,N,O,23/11/2018,,,20/12/2018,
01453,Arvière-en-Valromey,01453,Virieu-le-Petit,O,O,17/12/2018,,,,
01453,Arvière-en-Valromey,01059,Brénaz,N,O,17/12/2018,,,,
01453,Arvière-en-Valromey,01097,Chavornay,N,O,17/12/2018,,,,
01453,Arvière-en-Valromey,01218,Lochieu,N,O,17/12/2018,,,,
02018,Anizy-le-Grand,02018,Anizy-le-Château ,O,O,22/10/2018,,,19/12/2018,
02018,Anizy-le-Grand,02301,Faucoucourt ,N,O,22/10/2018,,,19/12/2018,
02018,Anizy-le-Grand,02434,Lizy ,N,O,22/10/2018,,,19/12/2018,
02153,Cessières-Suzy,02153,Cessières,O,O,11/12/2018,,,,
02153,Cessières-Suzy,02733,Suzy ,N,O,11/12/2018,,,,
02360,Villeneuve-sur-Aisne,02360,Guignicourt,O,O,29/11/2018,,,12/01/2019,
02360,Villeneuve-sur-Aisne,02475,Menneville,N,O,29/11/2018,,,12/01/2019,
05001,Abriès-Ristolas ,05001,Abriès,O,O,15/10/2018,,,,
05001,Abriès-Ristolas ,05120,Ristolas ,N,O,15/10/2018,,,,
07011,Vallées-d’Antraigues-Asperjoc,07011,Antraigues-sur-Volane,O,O,23/11/2018,,,18/12/2018,
07011,Vallées-d’Antraigues-Asperjoc,07016,Asperjoc,N,O,23/11/2018,,,18/12/2018,
07103,Saint-Julien-d’Intres,07103,Intres ,O,N,12/12/2018,,,,
07103,Saint-Julien-d’Intres,07252,Saint-Julien-Boutières,N,N,12/12/2018,,,,
07165,Belsentes,07165,Nonières,O,O,12/12/2018,,,,
07165,Belsentes,07256,Saint-Julien-Labrousse,N,O,12/12/2018,,,,
07262,Saint-Laurent-les-Bains-Laval-d'Aurelle,07262,Saint-Laurent-les-Bains,O,O,23/11/2018,,,22/12/2018,
07262,Saint-Laurent-les-Bains-Laval-d'Aurelle,07135,Laval-d'Aurelle,N,O,23/11/2018,,,22/12/2018,
08173,Flize,08173,Flize,O,O,23/11/2018,,,20/12/2018,
08173,Flize,08042,Balaives-et-Butz,N,O,23/11/2018,,,20/12/2018,
08173,Flize,08079,Boutancourt,N,O,23/11/2018,,,20/12/2018,
08173,Flize,08152,Élan ,N,O,23/11/2018,,,20/12/2018,
09296,Aulos-Sinsat,09296,Sinsat,O,O,27/09/2018,,,,
09296,Aulos-Sinsat,09028,Aulos,N,O,27/09/2018,,,,
09334,Val-de-Sos,09334,Vicdessos,O,O,16/07/2018,,,,
09334,Val-de-Sos,09135,Goulier,N,O,16/07/2018,,,,
09334,Val-de-Sos,09286,Sem,N,O,16/07/2018,,,,
09334,Val-de-Sos,09302,Suc-et-Sentenac,N,O,16/07/2018,,,,
